currach,initach,ses,treat
53.9498911,51.6322157,32.82779399,1
50.46349975,47.88611782,13.35127219,1
30.62298363,30.62298363,10.3835939,0
41.81480663,41.81480663,13.40472096,0
38.55578071,38.55578071,6.605650986,0
46.13398137,44.55914813,16.64988704,1
50.17481066,53.43641013,54.99730296,1
47.7472939,47.7472939,29.95325397,0
50.21483315,50.21483315,20.19139115,0
57.08223394,50.10782943,30.19199929,1
45.30438752,45.30438752,19.10465104,0
51.33514705,41.77447174,11.11037254,1
57.68486896,49.4295607,18.53741973,1
41.66817098,45.88292065,16.87536473,1
60.69267385,51.88193204,34.59253595,1
28.35286312,28.35286312,4.705776619,0
53.05163966,53.05163966,26.87427133,0
44.23315638,44.23315638,19.42575545,0
60.12081809,58.54340149,32.31738627,1
48.7465051,48.7465051,11.23616515,0
43.6457555,43.6457555,9.347088962,0
68.42375979,59.86346502,60.54739465,1
45.01219096,45.01219096,16.08724552,0
46.64128496,43.93684719,26.85936478,1
38.38731811,38.38731811,11.43726295,0
45.53331157,45.53331157,19.17549174,0
62.75408398,58.55295604,45.69594068,1
47.82744373,49.58829862,36.55752988,1
62.35319777,58.06632927,33.75817622,1
50.36743197,48.23252291,18.20448753,1
46.67687962,46.67687962,18.29679132,0
70.02163097,65.51831214,50.55763602,1
58.21507062,58.21507062,22.7625523,0
28.86698769,29.15526104,13.08034626,1
63.40190067,58.36342919,23.12816111,1
41.88599725,41.64465469,33.27134129,1
29.77408894,29.77408894,7.643360178,0
49.7356028,49.7356028,15.45634746,0
51.95384074,51.95384074,18.042982,0
49.03542242,49.02423252,38.09147392,1
47.62762407,49.41771904,16.27508388,1
51.32729331,54.83808627,37.98348358,1
50.72323821,50.72323821,25.5669085,0
47.36172344,49.9954837,31.16179847,1
68.62357009,68.10999263,53.56188025,1
62.58684876,61.41256351,53.70000839,1
56.18551491,56.18551491,43.65056972,0
55.47240185,53.40112183,24.86980122,1
40.7975841,41.15760681,25.43844953,1
60.7183699,58.14246422,24.08786658,1
46.77100711,46.77100711,12.15425352,0
55.04904356,48.37395848,18.54125372,1
46.49220423,45.15188008,8.518713041,1
39.70118588,39.70118588,9.468749364,0
47.36396405,47.36396405,27.61805964,0
57.74809672,51.80723636,28.36460779,1
57.70524642,45.66257469,15.37774688,1
60.35723587,58.60282997,27.2232089,1
51.94212796,51.52891717,43.94000315,1
26.84233109,27.54745863,5.688268035,1
44.99292485,44.99292485,24.26467368,0
49.03815704,46.33005039,11.9717507,1
59.57425597,53.92145692,32.95239036,1
55.86142588,55.86142588,32.92161497,0
74.33922905,63.95169503,32.05063929,1
65.83577896,67.19569643,51.19059519,1
76.0418275,77.35146727,99.75174994,1
64.56910604,57.02070884,42.36191193,1
71.78209268,60.49198392,77.92922584,1
38.39301343,45.34169834,23.3936098,1
51.22956654,43.694245,29.21282967,1
43.5302722,36.86628242,10.93691774,1
47.88577436,47.88577436,22.18335256,0
52.26644213,52.26644213,21.56730928,0
41.05459232,41.05459232,14.40257882,0
54.22856725,54.22856725,34.23048462,0
66.4770475,62.66036838,43.35123817,1
